exp_id,config_label,gamma,epochs,d_model,n_layers,batch_size,label_mode,best_epoch,val_macro_f1_best,accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_loss,cm_healthy_to_healthy,cm_healthy_to_semi,cm_healthy_to_unhealthy,cm_semi_to_healthy,cm_semi_to_semi,cm_semi_to_unhealthy,cm_unhealthy_to_healthy,cm_unhealthy_to_semi,cm_unhealthy_to_unhealthy,train_loss_curve,val_loss_curve,train_acc_curve,val_acc_curve,val_f1_curve
2,g2.0_e30_d256_l4_b64_binary,2.0,6,256,4,64,binary,3,0.8553966507761888,0.7717391304347826,0.7717391304347826,0.7842857142857143,0.7992481203007519,0.770409982174688,0.8187888198757765,0.7717391304347826,0.7745873052778423,0.11618709823359614,32,,0,,,,0,,0,"[0.11239891906954208, 0.08543491813371766, 0.07368604754501919, 0.05768710374832153, 0.05030662608596514, 0.03611977257818546]","[0.10468137976559964, 0.09149474339498269, 0.08872628555848049, 0.09565256814380269, 0.09853264967818837, 0.1738839144562627]","[0.7265625, 0.7890625, 0.84375, 0.8802083333333334, 0.8828125, 0.9166666666666666]","[0.7472527472527473, 0.8021978021978022, 0.8571428571428571, 0.8021978021978022, 0.8461538461538461, 0.8131868131868132]","[0.747130602875438, 0.7980769230769231, 0.8553966507761888, 0.8015988372093024, 0.8418570009930486, 0.8015903552648455]"
1,g2.0_e30_d256_l4_b64_3class,2.0,10,256,4,64,3class,7,0.8564480786703008,0.717391304347826,0.717391304347826,0.7994294491990344,0.7947089947089947,0.7827903091060987,0.7500500901622921,0.717391304347826,0.7149122807017545,0.034202013812635254,29,,0,,,,0,,12,"[0.2733206681485446, 0.05274669797915333, 0.024635937978636543, 0.02010697829273512, 0.015964786117931583, 0.014378474287267, 0.011848545158809086, 0.010541148905484181, 0.00778199591726627, 0.009137835213035907]","[0.08530504150050026, 0.035263722987620386, 0.02665551942210276, 0.024067325128631276, 0.024507864429564267, 0.024403084622143387, 0.025786881979841452, 0.03222855491625084, 0.03721417220575469, 0.049583080132583994]","[0.5546875, 0.7135416666666666, 0.8177083333333334, 0.8177083333333334, 0.875, 0.8645833333333334, 0.9036458333333334, 0.9375, 0.9505208333333334, 0.9270833333333334]","[0.5714285714285714, 0.7032967032967034, 0.8021978021978022, 0.8021978021978022, 0.7912087912087912, 0.8131868131868132, 0.8131868131868132, 0.8021978021978022, 0.8021978021978022, 0.8021978021978022]","[0.5307992612852701, 0.7596755112388034, 0.8474903474903476, 0.8478818998716303, 0.8392503346720215, 0.8561713520749666, 0.8564480786703008, 0.8468992248062016, 0.8438735177865612, 0.840725806451613]"
3,g2.0_e30_d256_l4_b128_3class,2.0,11,256,4,128,3class,8,0.8564480786703008,0.717391304347826,0.717391304347826,0.8122525040764034,0.798941798941799,0.7811447811447811,0.7696199070276183,0.717391304347826,0.7109683794466403,0.030622929334640503,31,,0,,,,0,,12,"[0.37872685126538547, 0.1329080676132778, 0.05940112302888115, 0.03607255895182772, 0.022952787718682918, 0.021522945952865313, 0.017902934888623795, 0.015482039946430135, 0.014981834955935209, 0.015209962174577533, 0.01288454881254232]","[0.14020366966724396, 0.07766606658697128, 0.04524632543325424, 0.033195704221725464, 0.029216203838586807, 0.026752520352602005, 0.024996574968099594, 0.023363163694739342, 0.0253754872828722, 0.026134584099054337, 0.03155522421002388]","[0.5, 0.6536458333333334, 0.7447916666666666, 0.7421875, 0.8359375, 0.8151041666666666, 0.8385416666666666, 0.8776041666666666, 0.875, 0.8723958333333334, 0.8984375]","[0.5494505494505495, 0.5824175824175825, 0.6593406593406593, 0.7252747252747253, 0.8021978021978022, 0.7912087912087912, 0.8021978021978022, 0.8131868131868132, 0.8021978021978022, 0.8131868131868132, 0.7802197802197802]","[0.500261643118786, 0.5581144781144781, 0.6954293270082744, 0.7800055694792537, 0.8468992248062016, 0.8380011871998274, 0.8468992248062016, 0.8564480786703008, 0.8438735177865612, 0.8561713520749666, 0.8208616780045351]"
4,g2.0_e30_d256_l4_b64_freeze,2.0,7,256,4,64,3class,4,0.8647839109970047,0.6630434782608695,0.6630434782608695,0.7944444444444444,0.7640211640211639,0.7322537112010797,0.7490942028985508,0.6630434782608695,0.6425805315965498,0.03056103039694869,32,,0,,,,0,,12,"[0.2806732733294649, 0.06298343977838192, 0.02696560632507756, 0.02130615345711978, 0.016346339347227564, 0.015131674847512875, 0.012713630947301973]","[0.09640660914745959, 0.04283949401188683, 0.028515373653435445, 0.024844630959106016, 0.024485109803768303, 0.022863916049783047, 0.02244610738541399]","[0.5520833333333334, 0.6927083333333334, 0.8229166666666666, 0.8098958333333334, 0.8671875, 0.859375, 0.8776041666666666]","[0.5384615384615384, 0.6483516483516484, 0.8131868131868132, 0.8241758241758241, 0.7802197802197802, 0.7912087912087912, 0.8241758241758241]","[0.48089195915282873, 0.6838827838827838, 0.8564480786703008, 0.8647839109970047, 0.8309798887462558, 0.839662447257384, 0.8647839109970047]"
5,g2.0_e30_d256_l4_b64_lr1e4,2.0,11,256,4,64,3class,8,0.8561713520749666,0.6630434782608695,0.6630434782608695,0.7944444444444444,0.7640211640211639,0.7322537112010797,0.7490942028985508,0.6630434782608695,0.6425805315965498,0.034856433210813484,32,,0,,,,0,,12,"[0.36639260570957977, 0.15732898352281102, 0.07969747849230496, 0.04823397296779561, 0.031123056726635626, 0.026444213289134908, 0.021466760140544962, 0.01855537267226093, 0.01743152175309523, 0.01786561577387576, 0.014672674238681793]","[0.15810612466309096, 0.0931063725070639, 0.058444251480338334, 0.04117655512559545, 0.034607402816578585, 0.03069789339225371, 0.0279359674429173, 0.026499748557478518, 0.027037938524569784, 0.02751029237777322, 0.03151932874551186]","[0.5182291666666666, 0.65625, 0.7552083333333334, 0.7317708333333334, 0.84375, 0.8072916666666666, 0.8463541666666666, 0.8723958333333334, 0.8567708333333334, 0.8723958333333334, 0.9088541666666666]","[0.5164835164835165, 0.5824175824175825, 0.6373626373626373, 0.7142857142857143, 0.7472527472527473, 0.7912087912087912, 0.8131868131868132, 0.8131868131868132, 0.8021978021978022, 0.8021978021978022, 0.8131868131868132]","[0.47418140108641543, 0.553389355742297, 0.6472906403940887, 0.769937275985663, 0.8013230550543984, 0.8380011871998274, 0.8557077625570777, 0.8561713520749666, 0.8450980392156863, 0.8480769230769232, 0.8486845811503577]"
