exp_id,config_label,gamma,epochs,d_model,n_layers,batch_size,label_mode,best_epoch,val_macro_f1_best,accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_loss,cm_healthy_to_healthy,cm_healthy_to_semi,cm_healthy_to_unhealthy,cm_semi_to_healthy,cm_semi_to_semi,cm_semi_to_unhealthy,cm_unhealthy_to_healthy,cm_unhealthy_to_semi,cm_unhealthy_to_unhealthy,train_loss_curve,val_loss_curve,train_acc_curve,val_acc_curve,val_f1_curve
1,g0_e10_d128_l3_b32_coughvid_AST,0,7,128,3,32,coughvid,4,0.2855035042419771,0.7490322580645161,0.7490322580645161,0.2496774193548387,0.3333333333333333,0.2855035042419771,0.5610493236212278,0.7490322580645161,0.6415540034031009,1.0539809874565371,2322,0,0,581,0,0,197,0,0,"[1.1050227331904183, 1.0998966151897887, 1.0979258286214508, 1.0975752548042652, 1.0984285450087183, 1.0974116417686497, 1.0984556461330008]","[1.0990501643765358, 1.0976672506332397, 1.0986256570200765, 1.0975404957802064, 1.0980874216941094, 1.0985269929516701, 1.0989258430850122]","[0.444966814159292, 0.4813329646017699, 0.5877350663716814, 0.5466675884955752, 0.6137306415929203, 0.610066371681416, 0.5707964601769911]","[0.08, 0.21419354838709678, 0.35193548387096774, 0.7487096774193548, 0.18741935483870967, 0.7483870967741936, 0.7483870967741936]","[0.08, 0.21419354838709678, 0.35193548387096774, 0.7487096774193548, 0.18741935483870967, 0.7483870967741936, 0.7483870967741936]"
2,g0_e10_d128_l3_b32_coughvid_AST,0,5,128,3,32,coughvid,2,0.42814978786201807,0.7487096774193548,0.7487096774193548,0.3743548387096774,0.5,0.42814978786201807,0.5605661810613943,0.7487096774193548,0.6411197791146735,0.6738985670766523,2321,0,0,779,0,0,0,0,0,"[0.6959444293669895, 0.6938359953660881, 0.6938170304076862, 0.6937755136627012, 0.6935645741435279]","[0.6933145233892626, 0.6932027532977443, 0.6930032407852911, 0.6930436276620434, 0.6932976047454342]","[0.5254424778761062, 0.5873202433628318, 0.5984513274336283, 0.6192616150442478, 0.6266592920353983]","[0.2509677419354839, 0.7490322580645161, 0.7490322580645161, 0.7490322580645161, 0.7490322580645161]","[0.2509677419354839, 0.7490322580645161, 0.7490322580645161, 0.7490322580645161, 0.7490322580645161]"
3,g0_e10_d128_l3_b16_coughvid_AST,0,5,128,3,16,coughvid,2,0.2855035042419771,0.7490322580645161,0.7490322580645161,0.2496774193548387,0.3333333333333333,0.2855035042419771,0.5610493236212278,0.7490322580645161,0.6415540034031009,1.003867591196491,2322,0,0,581,0,0,197,0,0,"[1.1006895510100685, 1.0932800613541518, 1.0920958476124611, 1.0920780090763507, 1.0933859083241066]","[1.0933723631212788, 1.0937549580297163, 1.095759510840139, 1.0930652481509793, 1.0935035162587319]","[0.4912195796460177, 0.6480918141592921, 0.6583241150442478, 0.6557660398230089, 0.712804203539823]","[0.3767741935483871, 0.7487096774193548, 0.7487096774193548, 0.7483870967741936, 0.7483870967741936]","[0.3767741935483871, 0.7487096774193548, 0.7487096774193548, 0.7483870967741936, 0.7483870967741936]"
4,g0_e10_d128_l3_b32_coughvid_AST,0,7,128,3,32,coughvid,4,0.2855035042419771,0.7490322580645161,0.7490322580645161,0.2496774193548387,0.3333333333333333,0.2855035042419771,0.5610493236212278,0.7490322580645161,0.6415540034031009,1.0553364549144622,2322,0,0,581,0,0,197,0,0,"[1.1044176835401924, 1.099800469073574, 1.0977837633242649, 1.097188812573399, 1.0984614855420274, 1.0972937044844162, 1.0983941702716118]","[1.0987546024014874, 1.097506988586918, 1.0989961228832121, 1.0974419801465927, 1.098214446959957, 1.0985545809038224, 1.0985877632325696]","[0.4365320796460177, 0.4928788716814159, 0.5991426991150443, 0.5575221238938053, 0.6115182522123894, 0.6117948008849557, 0.5768113938053098]","[0.18741935483870967, 0.6377419354838709, 0.20709677419354838, 0.7487096774193548, 0.18741935483870967, 0.7487096774193548, 0.7487096774193548]","[0.18741935483870967, 0.6377419354838709, 0.20709677419354838, 0.7487096774193548, 0.18741935483870967, 0.7487096774193548, 0.7487096774193548]"
5,g0_e10_d128_l3_b32_coughvid_AST,0,7,128,3,32,coughvid,4,0.28843422568802424,0.7261290322580645,0.7261290322580645,0.2777808211507115,0.3265823228931476,0.28843422568802424,0.5748278242196487,0.7261290322580645,0.6347678823194826,1.0430482056833084,2243,79,0,573,8,0,193,4,0,"[1.1028672170586291, 1.1002421384364103, 1.0976692696588228, 1.1000426365474685, 1.0989264139031942, 1.0963412063047948, 1.0959185261641984]","[1.098893169126203, 1.09712537857794, 1.1097027446377663, 1.0977656285993516, 1.0983221343255811, 1.0976071937622562, 1.0990438133670437]","[0.4327295353982301, 0.4297566371681416, 0.5277931415929203, 0.4664684734513274, 0.48714048672566373, 0.4688191371681416, 0.4999308628318584]","[0.1767741935483871, 0.2506451612903226, 0.21870967741935485, 0.7254838709677419, 0.19774193548387098, 0.5151612903225806, 0.49516129032258066]","[0.1767741935483871, 0.2506451612903226, 0.21870967741935485, 0.7254838709677419, 0.19774193548387098, 0.5151612903225806, 0.49516129032258066]"
