exp_id,config_label,gamma,epochs,d_model,n_layers,batch_size,label_mode,best_epoch,val_macro_f1_best,accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_loss,cm_healthy_to_healthy,cm_healthy_to_semi,cm_healthy_to_unhealthy,cm_semi_to_healthy,cm_semi_to_semi,cm_semi_to_unhealthy,cm_unhealthy_to_healthy,cm_unhealthy_to_semi,cm_unhealthy_to_unhealthy,train_loss_curve,val_loss_curve,train_acc_curve,val_acc_curve,val_f1_curve
2,g2.0_e25_d128_l3_b64_binary,2.0,8,128,3,64,binary,5,0.33677933115503417,0.6771929824561403,0.6771929824561403,0.6533380281690141,0.6675438596491228,0.6554030373831776,0.7002253521126761,0.6771929824561403,0.6842873831775701,0.3299727443366023,182,,0,,,,0,,0,"[0.13174504189199607, 0.08309941617387796, 0.05235946453143319, 0.036618589608801544, 0.02420428155326572, 0.014057840714244381, 0.010321134460260655, 0.0074975639708859485]","[0.23320083465791286, 0.26914142845268535, 0.34596613762073947, 0.37638177943408935, 0.3932325038694798, 0.5194630156782337, 0.5773835418815899, 0.6293025615520047]","[0.5934606481481481, 0.7893518518518519, 0.8923611111111112, 0.9291087962962963, 0.9597800925925926, 0.9780092592592593, 0.984375, 0.9898726851851852]","[0.20902255639097744, 0.27669172932330827, 0.3157894736842105, 0.3518796992481203, 0.4120300751879699, 0.4030075187969925, 0.40902255639097745, 0.4120300751879699]","[0.20837633298933608, 0.2563440860215054, 0.2811391535937697, 0.30186022833285836, 0.33677933115503417, 0.31698527148027705, 0.32872278944326716, 0.3273079122135726]"
3,g2.0_e25_d128_l3_b32_quantile,2.0,11,128,3,32,quantile,8,0.2508720930232558,0.52046783625731,0.52046783625731,0.4084848484848485,0.34152046783625734,0.3705013161043312,0.6484848484848486,0.52046783625731,0.5755264417324719,0.4260154338771401,139,,119,,,,136,,306,"[0.1736670843737563, 0.05484257404868667, 0.020559374265277368, 0.012850970419847101, 0.011957008638558314, 0.009450487218065927, 0.006861438274722689, 0.007168270150467139, 0.00394168364448449, 0.003575125628099333, 0.0034972041304810117]","[0.08601167999712148, 0.06225001348140544, 0.062429466496284745, 0.04797770033653517, 0.06808073162136222, 0.08068558038177347, 0.06572207211327732, 0.07338882093142746, 0.07247086045213212, 0.09243314933956118, 0.09817532415228679]","[0.43405963302752293, 0.6493692660550459, 0.7345183486238532, 0.7884174311926605, 0.8064793577981652, 0.836295871559633, 0.8698394495412844, 0.8873279816513762, 0.9180045871559633, 0.9283256880733946, 0.932052752293578]","[0.0887218045112782, 0.15338345864661654, 0.20601503759398496, 0.27518796992481204, 0.25413533834586466, 0.32030075187969925, 0.3473684210526316, 0.42406015037593986, 0.40150375939849625, 0.4180451127819549, 0.3533834586466165]","[0.07956677468872592, 0.12621794202595957, 0.14984098087977937, 0.19028990533703283, 0.18264385644064787, 0.2169425418569254, 0.2239887967408701, 0.2508720930232558, 0.23658483254011453, 0.24964494582099753, 0.222820811492914]"
4,g2.0_e25_d128_l3_b64_quantile_freeze,2.0,15,128,3,64,quantile,12,0.2696327578217342,0.519298245614035,0.519298245614035,0.3801636510871798,0.34152046783625734,0.3566971344826256,0.6131138426580611,0.519298245614035,0.5583555092753287,0.37526524084135454,140,,131,,,,177,,304,"[0.2108016941998456, 0.0804186535424223, 0.031082992228132225, 0.020122184811072533, 0.014959463371152051, 0.010365074067502408, 0.008065688889871112, 0.007308759645242271, 0.005890301293872329, 0.005214441721334227, 0.004212059044566636, 0.00348483463948007, 0.0028489014671672966, 0.002713841284661001, 0.002525965632025582]","[0.13847662824437135, 0.09307846486344373, 0.06455878059666856, 0.044797851419762565, 0.058794606964390976, 0.05467748420130938, 0.04910753111642106, 0.04898395887891153, 0.04871546871455989, 0.05478841105574056, 0.059495939135103294, 0.058538721781924256, 0.0719448937509293, 0.07572163000590819, 0.09567437026285587]","[0.3576388888888889, 0.5607638888888888, 0.6762152777777778, 0.7352430555555556, 0.7595486111111112, 0.7965856481481481, 0.8287037037037037, 0.8527199074074074, 0.8726851851851852, 0.8923611111111112, 0.9033564814814815, 0.9212962962962963, 0.9363425925925926, 0.9412615740740741, 0.9441550925925926]","[0.042105263157894736, 0.0962406015037594, 0.15338345864661654, 0.18646616541353384, 0.23458646616541354, 0.32781954887218046, 0.33533834586466166, 0.3669172932330827, 0.3699248120300752, 0.40150375939849625, 0.4330827067669173, 0.46766917293233085, 0.4030075187969925, 0.44360902255639095, 0.47518796992481205]","[0.1037037037037037, 0.09878925837951964, 0.12133772023529747, 0.13254611991861592, 0.16829528405907127, 0.21960344182566405, 0.21523077861106032, 0.2298200078036202, 0.23042346336899486, 0.24242310113471896, 0.2540897054762253, 0.2696327578217342, 0.24067367212896773, 0.2524391399071706, 0.26609445452138486]"
1,g2.0_e25_d128_l3_b64_quantile_baseline,2.0,14,128,3,64,quantile,11,0.2660194829271581,0.5064327485380117,0.5064327485380117,0.3865346236592626,0.3350877192982456,0.35531098017528406,0.6230156567504652,0.5064327485380117,0.5540224077778613,0.4620286646511471,140,,120,,,,171,,293,"[0.20571723479464926, 0.07561273032197911, 0.029334720303629064, 0.01985130886604233, 0.013930769003980699, 0.011118523876154914, 0.008120906344518213, 0.007296492526066591, 0.005934641167924211, 0.0056173479489208455, 0.005121517753702818, 0.004089874898217311, 0.003862404666448894, 0.004047410092601397]","[0.1318933741266566, 0.09133237024447076, 0.06730890780463254, 0.045271828613783184, 0.0546172505594734, 0.05382519070815323, 0.05168298589331763, 0.048770990485983684, 0.04976253557698171, 0.06196962656607305, 0.06660379422338385, 0.07555618972930693, 0.07661221728737193, 0.08956585882749772]","[0.3680555555555556, 0.5865162037037037, 0.6828703703703703, 0.7390046296296297, 0.7543402777777778, 0.7853009259259259, 0.8246527777777778, 0.8561921296296297, 0.8732638888888888, 0.8891782407407407, 0.8929398148148148, 0.9166666666666666, 0.9221643518518519, 0.9195601851851852]","[0.0481203007518797, 0.10526315789473684, 0.15789473684210525, 0.20300751879699247, 0.24812030075187969, 0.3067669172932331, 0.324812030075188, 0.41353383458646614, 0.3774436090225564, 0.3954887218045113, 0.4691729323308271, 0.42255639097744363, 0.3879699248120301, 0.39097744360902253]","[0.0927536231884058, 0.09999153042662633, 0.1208154090609619, 0.1454291307495469, 0.17687661777394306, 0.2077063480272513, 0.21001682109329475, 0.2555089355089355, 0.2371729735373739, 0.24422482556955935, 0.2660194829271581, 0.24578619534704402, 0.22754527102353192, 0.2306707946336429]"
5,g2.0_e25_d128_l3_b64_quantile_lr1e4,2.0,5,128,3,64,quantile,2,0.10194273612185883,0.1847953216374269,0.1847953216374269,0.28163992869875226,0.09239766081871344,0.13914575077058564,0.5632798573975045,0.18479532163742687,0.27829150154117127,0.1947774111353166,0,,29,,,,0,,158,"[0.2724214800730199, 0.15473621173060975, 0.08286361911388414, 0.04825553768559506, 0.02791693397131278]","[0.19484390284782066, 0.1316465626085611, 0.09161336641562612, 0.06634020536465753, 0.05737015492934033]","[0.32957175925925924, 0.3917824074074074, 0.5407986111111112, 0.6498842592592593, 0.6698495370370371]","[0.0, 0.0406015037593985, 0.08571428571428572, 0.10827067669172932, 0.13834586466165413]","[0.0, 0.10194273612185883, 0.08528726175785, 0.08124755189972581, 0.10086405747256517]"
